Eine Tassse Kaffe,125ml Wasser 7g Kaffee,74.9..,img/,hot.jpg
Avocado,200g,100,img/avocado.jpg
Banane,150g,195,img/banane.jpg
gekauftes Wasser,pro liter,210..,img/,hot.jpg
Kokosmilch,350g,190..,img/,hot.jpg..,img/,hot.jpg
Leitungswasser,pro liter,0.35..,img/,hot.jpg
Reis,25g,80,img/reis.jpg
Butter,250g,230..0,img/margarine.jpg
Gemüsebrühe,200g,3..00,img/bruehe.jpg
Nudeln,100g,50,img/nudeln.jpg
Hänchen,150g,550..,img/,hot.jpg
Rind steak,150g,1840..,img/,hot.jpg
Schwein,150g,620..,img/,hot.jpg
Käse,250g,1460..,img/,hot.jpg
Erdnüsse,100g,70..,img/,hot.jpg
Tofu,100g,170..,img/,hot.jpg
Lachs,100g,630..,img/,hot.jpg
